,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,Total Students,BE Score,ICSEA,ATAR Rank,Median ATAR,% students with ATAR
88,EASTERN HILLS SENIOR HIGH SCHOOL,LOT 289 KEANE STREET EAST,MOUNT HELENA,WA,6082,LOT 289 KEANE STREET EAST,MOUNT HELENA,WA,6082,-31.87396818,116.2200892,08 9573 0300,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,926,87,1017.0,105.0,72.2,39.62
89,EATON COMMUNITY COLLEGE,20 RECREATION DRIVE,EATON,WA,6232,20 RECREATION DRIVE,EATON,WA,6232,-33.3176055,115.7228908,08 9796 7000,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,553,76,947.0,,,
90,EDMUND RICE COLLEGE,3398 BINDOON DEWARS POOL ROAD,BINDOON,WA,6502,3398 BINDOON DEWARS POOL ROAD,BINDOON,WA,6502,-31.31077578,116.1856818,08 9576 5500,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,134,,,,,
91,ELLENBROOK CHRISTIAN COLLEGE,5 SANTONA BOULEVARD,ELLENBROOK,WA,6069,5 SANTONA BOULEVARD,ELLENBROOK,WA,6069,-31.786783,115.959178,08 9297 9297,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,532,92,1043.0,88.0,75.65,51.16
92,ELLENBROOK SECONDARY COLLEGE,100 MAIN STREET,ELLENBROOK,WA,6069,100 MAIN STREET,ELLENBROOK,WA,6069,-31.78554916,115.9642807,08 9297 9700,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1444,82,986.0,119.0,66.25,19.27
93,EMMANUEL CATHOLIC COLLEGE,122 HAMMOND ROAD,SUCCESS,WA,6164,122 HAMMOND ROAD,SUCCESS,WA,6164,-32.12857818,115.8400696,08 9414 4000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1098,90,1036.0,58.0,80.8,26.54
94,EMMANUEL CHRISTIAN COMMUNITY SCHOOL,3 SALCOTT ROAD,GIRRAWHEEN,WA,6064,3 SALCOTT ROAD,GIRRAWHEEN,WA,6064,-31.84620429,115.8482622,08 9342 7377,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,673,90,980.0,,,
95,ESPERANCE ANGLICAN COMMUNITY SCHOOL,5 GRIFFIN STREET,ESPERANCE,WA,6450,5 GRIFFIN STREET,ESPERANCE,WA,6450,-33.87140172,121.8844588,08 9083 2444,GOLDFIELDS,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,192,87,1029.0,,,
96,ESPERANCE SENIOR HIGH SCHOOL,PINK LAKE ROAD,ESPERANCE,WA,6450,PO BOX 465,ESPERANCE,WA,6450,-33.86017872,121.868258,08 9071 9555,GOLDFIELDS,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,913,81,972.0,67.0,79.9,33.87
97,EXMOUTH DISTRICT HIGH SCHOOL,CARPENTER STREET,EXMOUTH,WA,6707,PO BOX 105,EXMOUTH,WA,6707,-21.93316002,114.1242962,08 9947 8888,MIDWEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,462,85,1016.0,,,
98,FAIRBRIDGE COLLEGE,"FAIRBRIDGE VILLAGE, SOUTH WEST HIGHWAY",PINJARRA,WA,6208,"FAIRBRIDGE VILLAGE, SOUTH WEST HIGHWAY",PINJARRA,WA,6208,-32.60549898,115.9465216,08 9531 7932,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,151,Not Rated,965.0,,,
99,FITZROY VALLEY DISTRICT HIGH SCHOOL,FLYNN DRIVE,FITZROY CROSSING,WA,6765,PO BOX 106,FITZROY CROSSING,WA,6765,-18.196468,125.566842,08 9163 8600,KIMBERLEY,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,296,72,705.0,,,
100,FOUNDATION CHRISTIAN COLLEGE,115 WALDRON BLVDE,GREENFIELDS,WA,6210,115 WALDRON BLVDE,GREENFIELDS,WA,6210,-32.52931617,115.7622888,08 9586 5444,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,527,84,1030.0,,,
101,FOUNTAIN COLLEGE,12 KARRI WAY,FERNDALE,WA,6148,12 KARRI WAY,FERNDALE,WA,6148,-32.03648539,115.9200109,08 9458 3555,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,380,87,985.0,,,
102,FREDERICK IRWIN ANGLICAN SCHOOL,36-66 GORDON ROAD,MANDURAH,WA,6210,36-66 GORDON ROAD,MANDURAH,WA,6210,-32.50869435,115.7530802,08 9537 0000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1592,98,1088.0,69.0,79.65,76.67
103,FREMANTLE CHRISTIAN COLLEGE,110 ROCKINGHAM ROAD,HAMILTON HILL,WA,6163,110 ROCKINGHAM ROAD,HAMILTON HILL,WA,6163,-32.0843654,115.7751984,08 9430 6635,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y11,357,85,1028.0,,,
104,FREMANTLE COLLEGE,LEFROY ROAD,BEACONSFIELD,WA,6162,LEFROY ROAD,BEACONSFIELD,WA,6162,-32.06791,115.76798,08 9338 8900,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1180,,,128.0,64.25,30.77
105,GEORGIANA MOLLOY ANGLICAN SCHOOL,2 HAWKER APPROACH,BUSSELTON,WA,6280,2 HAWKER APPROACH,BUSSELTON,WA,6280,-33.6606425,115.3815495,08 9752 5252,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1121,94,1072.0,45.0,82.6,62.9
106,GERALDTON FLEXIBLE LEARNING CENTRE,15 BAYLY STREET,GERALDTON,WA,6530,15 BAYLY STREET,GERALDTON,WA,6530,-28.76770179,114.6188153,08 9965 2264,MIDWEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,113,Not Rated,,,,
107,GERALDTON GRAMMAR SCHOOL,134 GEORGE ROAD,GERALDTON,WA,6530,134 GEORGE ROAD,GERALDTON,WA,6530,-28.76195313,114.621025,08 9965 7800,MIDWEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,511,94,1068.0,95.0,74.45,80.95
108,GERALDTON SENIOR HIGH SCHOOL,CARSON TERRACE,GERALDTON,WA,6530,PMB 10100,GERALDTON PO,WA,6531,-28.78068474,114.6117092,08 9965 8400,MIDWEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,934,Not Rated,904.0,127.0,64.5,14.29
109,GILMORE COLLEGE,DARGIN PLACE,ORELIA,WA,6167,PO BOX 86,KWINANA,WA,6966,-32.238266,115.814803,08 6595 2700,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1183,,,138.0,52.25,16.31
110,GINGIN DISTRICT HIGH SCHOOL,1 DAW STREET,GINGIN,WA,6503,1 DAW STREET,GINGIN,WA,6503,-31.34427642,115.9123687,08 9575 5300,NORTH METROPOLITAN,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,261,80,967.0,,,
111,GIRRAWHEEN SENIOR HIGH SCHOOL,39 CALVERT WAY,GIRRAWHEEN,WA,6064,39 CALVERT WAY,GIRRAWHEEN,WA,6064,-31.83648977,115.8418703,08 9247 0555,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,436,75,907.0,,,
112,GNOWANGERUP DISTRICT HIGH SCHOOL,YOUGENUP ROAD,GNOWANGERUP,WA,6335,YOUGENUP ROAD,GNOWANGERUP,WA,6335,-33.938232,118.00801,08 9827 3300,SOUTH WEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,137,Not Rated,917.0,,,
113,GOLDFIELDS BAPTIST COLLEGE,4 MAGUIRE STREET,KALGOORLIE,WA,6430,4 MAGUIRE STREET,KALGOORLIE,WA,6430,-30.77620533,121.4630845,08 9022 7535,GOLDFIELDS,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,292,79,993.0,,,
114,GOVERNOR STIRLING SENIOR HIGH SCHOOL,25 THIRD AVENUE,WOODBRIDGE,WA,6056,25 THIRD AVENUE,WOODBRIDGE,WA,6056,-31.88893826,115.9888056,08 6274 0300,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,919,83,974.0,130.0,63.8,43.1
115,GRACE CHRISTIAN SCHOOL,22 VITTORIA ROAD,BUNBURY,WA,6230,22 VITTORIA ROAD,BUNBURY,WA,6230,-33.33832794,115.6810759,08 9726 4200,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,595,93,1058.0,,,
116,GREAT SOUTHERN GRAMMAR,244 NANARUP ROAD,LOWER KALGAN,WA,6330,244 NANARUP ROAD,LOWER KALGAN,WA,6330,-34.94755539,117.9707332,08 9844 0300,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,693,96,1075.0,84.0,76.05,65.06
117,GREENWOOD COLLEGE,79 COOLIBAH DRIVE,GREENWOOD,WA,6024,79 COOLIBAH DRIVE,GREENWOOD,WA,6024,-31.82628484,115.7914439,08 9235 4300,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1071,86,1032.0,86.0,75.75,36.8
118,GUILDFORD GRAMMAR SCHOOL,11 TERRACE ROAD,GUILDFORD,WA,6055,11 TERRACE ROAD,GUILDFORD,WA,6055,-31.894036,115.981892,08 9377 9222,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1101,,,52.0,81.35,75.7
119,HALE SCHOOL,160 HALE ROAD,WEMBLEY DOWNS,WA,6019,160 HALE ROAD,WEMBLEY DOWNS,WA,6019,-31.91232249,115.7837828,08 9347 9777,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,PPR,Y12,1594,99,1165.0,6.0,90.35,87.11
120,HALLS CREEK DISTRICT HIGH SCHOOL,THOMAS STREET,HALLS CREEK,WA,6770,PO BOX 117,HALLS CREEK,WA,6770,-18.22567554,127.669356,08 9171 5555,KIMBERLEY,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,382,73,,,,
121,HALLS HEAD COLLEGE,CASUARINA DRIVE,HALLS HEAD,WA,6210,CASUARINA DRIVE,HALLS HEAD,WA,6210,-32.55444963,115.6942404,08 9581 0600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1399,Not Rated,930.0,112.0,69.95,22.49
122,HAMPTON SENIOR HIGH SCHOOL,MORLEY DRIVE EAST,MORLEY,WA,6062,PO BOX 590,MORLEY,WA,6943,-31.89085713,115.92693,08 6235 7100,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,821,83,979.0,117.0,67.15,25.81
123,HARRISDALE SENIOR HIGH SCHOOL,1 LAVERTON CRESCENT,HARRISDALE,WA,6112,1 LAVERTON CRESCENT,HARRISDALE,WA,6112,-32.127736,115.934521,08 9397 8000,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y10,1258,91,1041.0,,,
124,HARVEY SENIOR HIGH SCHOOL,51 SOUTH WEST HIGHWAY,HARVEY,WA,6220,51 SOUTH WEST HIGHWAY,HARVEY,WA,6220,-33.08407299,115.9079627,08 9782 3800,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,209,75,935.0,,,
125,HAVENPORT MSL COLLEGE,1 TICHBORNE STREET,COCKBURN CENTRAL,WA,6164,1 TICHBORNE STREET,COCKBURN CENTRAL,WA,6164,-32.121531,115.84047,08 6189 3521,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y03,Y10,24,,,,,
126,HEDLAND SENIOR HIGH SCHOOL,78 HAMILTON ROAD,SOUTH HEDLAND,WA,6722,PO BOX 2609,SOUTH HEDLAND,WA,6722,-20.39878872,118.598616,08 9172 8000,PILBARA,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,916,76,908.0,,,
127,HELENA COLLEGE,52 BILGOMAN ROAD,GLEN FORREST,WA,6071,52 BILGOMAN ROAD,GLEN FORREST,WA,6071,-31.90747,116.09144,08 9298 9100,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,724,96,1110.0,78.0,77.35,91.18
128,HERITAGE COLLEGE PERTH,339 HAWTIN ROAD,FORRESTFIELD,WA,6058,339 HAWTIN ROAD,FORRESTFIELD,WA,6058,-31.98220269,116.0196448,08 9453 1833,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,115,88,1028.0,,,
129,HILLSIDE CHRISTIAN COLLEGE,336 HAWTIN ROAD,FORRESTFIELD,WA,6058,336 HAWTIN ROAD,FORRESTFIELD,WA,6058,-31.97978892,116.0173602,08 9453 2644,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,346,82,1025.0,,,
130,HOLY CROSS COLLEGE,18 STRATHMORE PARKWAY,ELLENBROOK,WA,6069,18 STRATHMORE PARKWAY,ELLENBROOK,WA,6069,-31.773097,115.973832,08 9297 7600,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1121,88,1043.0,98.0,74.2,44.58
131,HOPE CHRISTIAN COLLEGE,86 GOVERNMENT ROAD,ROELANDS,WA,6226,86 GOVERNMENT ROAD,ROELANDS,WA,6226,-33.29288692,115.8278834,08 9726 3613,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,355,86,1024.0,,,
132,IMMACULATE HEART COLLEGE,34 SANTA GERTRUDIS DRIVE,LOWER CHITTERING,WA,6084,34 SANTA GERTRUDIS DRIVE,LOWER CHITTERING,WA,6084,-31.56032856,116.0783495,08 9571 8135,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y11,345,84,995.0,,,
133,INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,193 ST BRIGIDS TERRACE,DOUBLEVIEW,WA,6018,193 ST BRIGIDS TERRACE,DOUBLEVIEW,WA,6018,-31.8985,115.77762,08 9285 1144,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,318,99,1182.0,,,
134,IONA PRESENTATION COLLEGE,33 PALMERSTON STREET,MOSMAN PARK,WA,6012,33 PALMERSTON STREET,MOSMAN PARK,WA,6012,-32.00852636,115.7677349,08 9384 0066,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1190,97,1124.0,17.0,87.8,67.91
135,IRENE MCCORMACK CATHOLIC COLLEGE,18 BRADMAN DRIVE,BUTLER,WA,6036,18 BRADMAN DRIVE,BUTLER,WA,6036,-31.65406275,115.709449,08 9562 2400,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,880,86,1027.0,120.0,66.2,45.19
136,JERRAMUNGUP DISTRICT HIGH SCHOOL,2 LANCASTER ROAD,JERRAMUNGUP,WA,6337,2 LANCASTER ROAD,JERRAMUNGUP,WA,6337,-33.94498437,118.9175865,08 9835 2600,SOUTH WEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y11,126,78,992.0,,,
137,JOHN CALVIN CHRISTIAN COLLEGE,18 ROBIN HOOD AVENUE,ARMADALE,WA,6112,18 ROBIN HOOD AVENUE,ARMADALE,WA,6112,-32.14876453,116.0066034,08 9497 0000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,372,,,56.0,80.95,67.39
138,JOHN CALVIN SCHOOL,9 BEAUFORT ROAD,ALBANY,WA,6330,9 BEAUFORT ROAD,ALBANY,WA,6330,-35.003739,117.871159,08 9841 3840,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,204,95,1024.0,,,
139,JOHN CURTIN COLLEGE OF THE ARTS,90 ELLEN STREET,FREMANTLE,WA,6160,90 ELLEN STREET,FREMANTLE,WA,6160,-32.04863279,115.7562238,08 9433 7200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1761,98,1120.0,25.0,85.25,65.18
140,JOHN FORREST SECONDARY COLLEGE,180 DRAKE STREET,MORLEY,WA,6062,180 DRAKE STREET,MORLEY,WA,6062,-31.90416352,115.90089,08 9473 4000,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1114,91,1025.0,74.0,78.7,32.3
141,JOHN PAUL COLLEGE,LIONEL STREET,KALGOORLIE,WA,6430,LIONEL STREET,KALGOORLIE,WA,6430,-30.76410096,121.4787154,08 9021 4377,GOLDFIELDS,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,669,87,1018.0,108.0,71.0,79.49
142,JOHN SEPTIMUS ROE ANGLICAN COMMUNITY SCHOOL,2 BOYARE AVENUE,MIRRABOOKA,WA,6061,2 BOYARE AVENUE,MIRRABOOKA,WA,6061,-31.85936631,115.8567055,08 9247 2242,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1727,93,1070.0,35.0,84.0,50.3
143,JOHN TONKIN COLLEGE,EDUCATION DRIVE,MANDURAH,WA,6210,PO BOX 684,MANDURAH,WA,6210,-32.51758689,115.756358,08 9583 7373,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,765,81,980.0,126.0,64.6,17.65
144,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,CENTRE ROAD,CAMILLO,WA,6111,CENTRE ROAD,CAMILLO,WA,6111,-32.104726,116.007834,08 9495 8100,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,968,87,1054.0,40.0,83.3,38.67
145,JOHN XXIII COLLEGE,JOHN XXIII AVENUE,MOUNT CLAREMONT,WA,6010,JOHN XXIII AVENUE,MOUNT CLAREMONT,WA,6010,-31.9599189,115.7847988,08 9383 0400,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1579,97,1170.0,8.0,89.5,78.57
146,JOSEPH BANKS SECONDARY COLLEGE,40 JOSEPH BANKS BOULEVARD,BANKSIA GROVE,WA,6031,40 JOSEPH BANKS BOULEVARD,BANKSIA GROVE,WA,6031,-31.69867412,115.7965911,08 9303 7400,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1513,,,92.0,74.95,25.12
147,JURIEN BAY DISTRICT HIGH SCHOOL,19 HAMERSLEY STREET,JURIEN BAY,WA,6516,PO BOX 648,JURIEN BAY,WA,6516,-30.308373,115.040116,08 9688 6100,MIDWEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,317,78,961.0,,,
148,KALAMUNDA SENIOR HIGH SCHOOL,12 COTHERSTONE ROAD,KALAMUNDA,WA,6076,12 COTHERSTONE ROAD,KALAMUNDA,WA,6076,-31.97788079,116.0561861,08 9293 6400,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1176,86,1015.0,107.0,71.05,38.69
149,KALBARRI DISTRICT HIGH SCHOOL,HACKNEY STREET,KALBARRI,WA,6536,PO BOX 584,KALBARRI,WA,6536,-27.712788,114.163881,08 9936 4800,MIDWEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,203,85,988.0,,,
150,KALGOORLIE-BOULDER COMMUNITY HIGH SCHOOL,BOOMERANG CRESCENT,KALGOORLIE,WA,6430,LOCKED BAG 9,KALGOORLIE,WA,6430,-30.76705062,121.4788763,08 9092 0300,GOLDFIELDS,High Schools,SECONDARY SCHOOLS,Y07,Y10,835,75,905.0,,,
151,KAMBALDA WEST DISTRICT HIGH SCHOOL,SALMON GUM ROAD,KAMBALDA WEST,WA,6442,SALMON GUM ROAD,KAMBALDA WEST,WA,6442,-31.20551775,121.6204895,08 9027 2950,GOLDFIELDS,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,219,74,888.0,,,
152,KARALUNDI COLLEGE,"LOT 1, KARALUNDI DRIVE",MEEKATHARRA,WA,6642,"LOT 1, KARALUNDI DRIVE",MEEKATHARRA,WA,6642,-26.130058,118.693121,08 9981 2937,MIDWEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y10,23,,,,,
153,KARRATHA SENIOR HIGH SCHOOL,DAMPIER ROAD,KARRATHA,WA,6714,PO BOX 1630,KARRATHA,WA,6714,-20.74695822,116.8241249,08 9187 8000,PILBARA,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1208,76,944.0,132.0,62.8,22.03
154,KATANNING SENIOR HIGH SCHOOL,2-8 GOLF LINKS ROAD,KATANNING,WA,6317,2-8 GOLF LINKS ROAD,KATANNING,WA,6317,-33.68321703,117.5692745,08 9891 1100,WHEATBELT,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,326,77,899.0,,,
155,KEARNAN COLLEGE,25 MOORE STREET,MANJIMUP,WA,6258,25 MOORE STREET,MANJIMUP,WA,6258,-34.24140477,116.1416408,08 9777 0677,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,320,88,1025.0,,,
156,KELLERBERRIN DISTRICT HIGH SCHOOL,54 JAMES STREET,KELLERBERRIN,WA,6410,54 JAMES STREET,KELLERBERRIN,WA,6410,-31.63149171,117.7186275,08 9045 6300,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,101,73,894.0,,,
157,KELMSCOTT SENIOR HIGH SCHOOL,CNR THIRD AVENUE/CAMMILLO ROAD,KELMSCOTT,WA,6111,PO BOX 21,KELMSCOTT,WA,6991,-32.12147619,116.0110534,08 9495 7400,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1295,81,983.0,113.0,69.7,30.39
158,KENNEDY BAPTIST COLLEGE,FARRINGTON ROAD,MURDOCH,WA,6150,FARRINGTON ROAD,MURDOCH,WA,6150,-32.073356,115.829647,08 9314 7722,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1160,95,1097.0,12.0,88.95,50.3
159,KENT STREET SENIOR HIGH SCHOOL,89 KENT STREET,EAST VICTORIA PARK,WA,6101,89 KENT STREET,EAST VICTORIA PARK,WA,6101,-31.98570399,115.8926602,08 9262 0500,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1027,87,1023.0,93.0,74.65,33.58
160,KIARA COLLEGE,368 BENARA ROAD,KIARA,WA,6054,368 BENARA ROAD,KIARA,WA,6054,-31.87744952,115.9350998,08 6235 7000,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,487,75,848.0,,,
161,KINGSWAY CHRISTIAN COLLEGE,157 KINGSWAY,DARCH,WA,6065,157 KINGSWAY,DARCH,WA,6065,-31.81156717,115.8374044,08 9302 8777,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1376,,,50.0,81.65,75.49
162,KINROSS COLLEGE,FALKLAND WAY,KINROSS,WA,6028,FALKLAND WAY,KINROSS,WA,6028,-31.71789873,115.7325952,08 9233 6700,NORTH METROPOLITAN,High Schools,SECONDARY SCHOOLS,Y07,Y10,717,90,1033.0,,,
163,KOJONUP DISTRICT HIGH SCHOOL,BLACKWOOD ROAD,KOJONUP,WA,6395,BLACKWOOD ROAD,KOJONUP,WA,6395,-33.84013104,117.1565215,08 9831 3300,SOUTH WEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,245,77,968.0,,,
164,KOLBE CATHOLIC COLLEGE,DOWLING STREET,ROCKINGHAM,WA,6168,DOWLING STREET,ROCKINGHAM,WA,6168,-32.27997384,115.7539727,08 9592 1500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1160,92,1046.0,97.0,74.25,41.14
165,KULIN DISTRICT HIGH SCHOOL,GORDON STREET,KULIN,WA,6365,PO BOX 19,KULIN,WA,6365,-32.67021123,118.1526847,08 9880 1264,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,127,85,1033.0,,,
166,KULKARRIYA COMMUNITY SCHOOL,YUNGNGORA COMMUNITY NOONKANBAH STATION,VIA FITZROY CROSSING,WA,6765,YUNGNGORA COMMUNITY NOONKANBAH STATION,VIA FITZROY CROSSING,WA,6765,-18.503222,124.831111,08 9191 4737,KIMBERLEY,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,67,Not Rated,645.0,,,
167,LA SALLE COLLEGE,5 LA SALLE AVENUE,MIDDLE SWAN,WA,6056,5 LA SALLE AVENUE,MIDDLE SWAN,WA,6056,-31.87856979,116.004411,08 9449 0601,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1392,85,1020.0,53.0,81.25,28.37
168,LAKE GRACE DISTRICT HIGH SCHOOL,1 SCHOOL PLACE,LAKE GRACE,WA,6353,1 SCHOOL PLACE,LAKE GRACE,WA,6353,-33.103443,118.459432,08 9865 1207,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,119,79,990.0,,,
169,LAKE JOONDALUP BAPTIST COLLEGE,8 KENNEDYA DRIVE,JOONDALUP,WA,6027,8 KENNEDYA DRIVE,JOONDALUP,WA,6027,-31.73747504,115.7614206,08 9300 7444,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1468,93,1105.0,80.0,77.25,63.91
170,LAKELAND SENIOR HIGH SCHOOL,106 SOUTH LAKE DRIVE,SOUTH LAKE,WA,6164,106 SOUTH LAKE DRIVE,SOUTH LAKE,WA,6164,-32.10905514,115.8459137,08 6172 2200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,581,78,951.0,,,
171,LANDSDALE CHRISTIAN SCHOOL,77 QUEENSWAY ROAD,LANDSDALE,WA,6065,77 QUEENSWAY ROAD,LANDSDALE,WA,6065,-31.80678912,115.8671747,08 9309 1830,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,152,,,,,
172,LANGFORD ISLAMIC COLLEGE,57 SOUTHGATE ROAD,LANGFORD,WA,6147,57 SOUTHGATE ROAD,LANGFORD,WA,6147,-32.04605574,115.9371583,08 9458 5206,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1043,99,1098.0,85.0,75.9,70.27
173,LEEMING SENIOR HIGH SCHOOL,AULBERRY PARADE,LEEMING,WA,6149,AULBERRY PARADE,LEEMING,WA,6149,-32.07467304,115.8564902,08 9237 6800 ,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1091,98,1071.0,89.0,75.6,44.22
174,LEONORA DISTRICT HIGH SCHOOL,GWALIA STREET,LEONORA,WA,6438,PO BOX 200,LEONORA,WA,6438,-28.88414676,121.3329384,08 9037 6143,GOLDFIELDS,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y11,107,Not Rated,716.0,,,
